Proba
0.00833333; 10.015
0.0166667; 10.03
0.025; 10.045
0.0333333; 10.06
0.0416667; 10.075
0.05; 10.09
0.0583333; 10.105
0.0666667; 10.12
0.075; 10.135
0.0833333; 10.15
0.0916667; 10.165
0.1; 10.18
0.108333; 10.195
0.116667; 10.21
0.125; 10.225
0.133333; 10.24
0.141667; 10.255
0.15; 10.27
0.158333; 10.285
0.166667; 10.3
0.175; 10.315
0.183333; 10.33
0.191667; 10.345
0.2; 10.36
0.208333; 10.375
0.216667; 10.39
0.225; 10.405
0.233333; 10.42
0.241667; 10.435
0.25; 10.45
0.258333; 10.465
0.266667; 10.48
0.275; 10.495
0.283333; 10.51
0.291667; 10.525
0.3; 10.54
0.308333; 10.555
0.316667; 10.57
0.325; 10.585
0.333333; 10.6
0.341667; 10.615
0.35; 10.63
0.358333; 10.645
0.366667; 10.66
0.375; 10.675
0.383333; 10.69
0.391667; 10.705
0.4; 10.72
0.408333; 10.735
0.416667; 10.75
0.425; 10.765
0.433333; 10.78
0.441667; 10.795
0.45; 10.81
0.458333; 10.825
0.466667; 10.84
0.475; 10.855
0.483333; 10.87
0.491667; 10.885
0.5; 10.9
0.508333; 10.915
0.516667; 10.93
0.525; 10.945
0.533333; 10.96
0.541667; 10.975
0.55; 10.99
0.558333; 11.005
0.566667; 11.02
0.575; 11.035
0.583333; 11.05
0.591667; 11.065
0.6; 11.08
0.608333; 11.095
0.616667; 11.11
0.625; 11.125
0.633333; 11.14
0.641667; 11.155
0.65; 11.17
0.658333; 11.185
0.666667; 11.2
0.675; 11.215
0.683333; 11.23
0.691667; 11.245
0.7; 11.26
0.708333; 11.275
0.716667; 11.29
0.725; 11.305
0.733333; 11.32
0.741667; 11.335
0.75; 11.35
0.758333; 11.365
0.766667; 11.38
0.775; 11.395
0.783333; 11.41
0.791667; 11.425
0.8; 11.44
0.808333; 11.455
0.816667; 11.47
0.825; 11.485
0.833333; 11.5
0.841667; 11.515
0.85; 11.53
0.858333; 11.545
0.866667; 11.56
0.875; 11.575
0.883333; 11.59
0.891667; 11.605
0.9; 11.62
0.908333; 11.635
0.916667; 11.65
0.925; 11.665
0.933333; 11.68
0.941667; 11.695
0.95; 11.71
0.958333; 11.725
0.966667; 11.74
0.975; 11.755
0.983333; 11.77
0.991667; 11.785
1; 11.8
1.00833; 11.815
1.01667; 11.83
1.025; 11.845
1.03333; 11.86
1.04167; 11.875
1.05; 11.89
1.05833; 11.905
1.06667; 11.92
1.075; 11.935
1.08333; 11.95
1.09167; 11.965
1.1; 11.98
1.10833; 11.995
1.11667; 12.01
1.125; 12.025
1.13333; 12.04
